common_name_c,common_name_e,scientific_name,ps,sm_0,sm_1,sm_2,sm_3,dv_0,dv_1,dv_2,dv_3,predators,image,desc,references,expert,,,
紅火蟻,red_imported_fire_ant,solenopsis_invicta,0,5,60,130,200,-12.3,3.6,40.6,45,,https://raw.githubusercontent.com/IEScoders/EcoclimateTaiwan/master/image/solenopsis_invicta.jpg,入侵紅火蟻為社會性昆蟲，族群分工嚴密，蟻群包括有蟻后、雌蟻、雄蟻、職蟻（工蟻與兵蟻，係不孕性雌蟻）、蛹、幼蟲、卵等個體，而以蟻后為族群中心，專司繁衍之責以維持族群數量及物種延續。入侵紅火蟻尚可依附於土壤、稻草、盆栽植物及栽培介質、田間癈棄物、景觀與營建材料、與土壤接觸之機具設備等高風險物品，經人為移動而散播。,,,,,
非洲大蝸牛,giant_african_land_snail,achatina_fulica,0,5,60,130,200,0,18,30,45,euglandina_rosea,https://raw.githubusercontent.com/IEScoders/EcoclimateTaiwan/master/image/achatina_fulica.jpg,成蝸蝸殼圓錐形，殼70～130x40～60公厘，螺層右旋，具有8～9層螺層。殼頂第1～3層為乳白色，第4~6層為淡黃色，夾雜有赤褐色或淡紫色斑紋，第7～9層為暗赤色，有赤褐色及淡紫色或黃白色之粗紋，第8或第9層螺層即靠近殼口之一層，其長度約佔殼長之2/3。體深褐色，混雜白色斑點，腹面灰白色，活動時其體伸出殼外約與其殼長相等。頭部前端有兩對觸角與口器，口器兩側之1對為前觸角，因其較短小又稱小觸角，頭部背面有1對較大之觸角稱為後觸角或大觸角，其末端具有黑色圓形小眼球，故又稱為眼觸角。兩對觸角伸縮自如，均可縮入肉體內。口器位於頭部先端之腹面，橫裂開口，其兩側有1對大側唇。大觸角的右方稍後處有個生殖孔，殼口內之右方下角有一肺孔，且門位於肺孔之內壁。,https://www.cabi.org/ISC/datasheet/2640,,,,
福壽螺,golden_apple_snail,pomacea_canaliculata,0,85,212,677,948,0,10,32,35,anas_platyrhynchos_domesticus,https://raw.githubusercontent.com/IEScoders/EcoclimateTaiwan/master/image/pomacea_canaliculata.jpg,卵呈圓形，直徑2.3公厘左右，初產下粉紅色，2~3天後呈鮮紅色，孵化前由灰白色至灰黑色。每一卵塊由3~4層卵覆疊成葡萄狀長橢圓形，含卵粒數10粒至300餘粒。成螺形同幼螺，殼較硬，口緣無反轉，螺殼右旋5層，外體層驟然增大，其上有十餘條細縱紋。雌雄異體，雄螺口蓋外緣反轉，雌螺則否。,,,,,
家鴨,domestic_duck,anas_platyrhynchos_domesticus,1,85,212,315,441,0,10,30,35,,https://raw.githubusercontent.com/IEScoders/EcoclimateTaiwan/master/image/anas_platyrhynchos_domesticus.jpg,,,,,,
南方小花蝽,orius_flower_bug,orius_strigicollis,1,85,212,315,441,15,25,30,35,,https://raw.githubusercontent.com/IEScoders/EcoclimateTaiwan/master/image/orius_strigicollis.jpg,,http://ir.tari.gov.tw:8080/bitstream/345210000/3283/2/publication_no142_06.pdf, https://baike.baidu.com/item/%E5%8D%97%E6%96%B9%E5%B0%8F%E8%8A%B1%E8%9D%BD,��@��,,
草蛉,green_lacewing,mallada_basalis,1,85,212,315,441,8,25,28,32,,https://raw.githubusercontent.com/IEScoders/EcoclimateTaiwan/master/image/mallada_basalis.jpg,,http://farmer.iyard.org/pps/47/47-1-01.pdf, https://www.baphiq.gov.tw/Publish/plant_protect_pic_4/04PDF/04-04-2.pdf,,,
玫瑰蝸牛,rosy_predator_snail,euglandina_rosea,1,85,212,315,441,0,10,32,35,,https://raw.githubusercontent.com/IEScoders/EcoclimateTaiwan/master/image/euglandina_rosea.jpg,,https://www.cabi.org/ISC/datasheet/23113,,,,
中國梨木蝨,chinese_pear_psyllid,cacopsylla_chinensis,0,85,212,315,441,4.4,10,30,35,orius_strigicollis;mallada_basalis,https://raw.githubusercontent.com/IEScoders/EcoclimateTaiwan/master/image/cacopsylla_chinensis.jpg,成蟲分冬型和夏型，冬型較大，體長2.6~3.1公釐，前翅後緣臀區有明顯褐斑；夏型較小，體長2.4~2.7公釐，翅上無斑紋，中胸背板上有4條紅黃色縱條紋，卵為卵圓形，一端鈍圓形，另一端尖細延長成一根長絲，初孵若蟲扁橢圓形。, mallada_basalis,http://tiasd.tfri.gov.tw/renew/specie/2323, https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E6%A2%A8%E6%9C%A8%E8%99%B1, https://ecommons.cornell.edu/bitstream/handle/1813/43114/pear-psylla-FS-NYSIPM.pdf?sequence=1,�i�Q�s
粉介殼蟲,mealybug,pseudococcidae,0,85,212,315,441,0,14,25,32,coccinellidae;mallada_basalis,https://raw.githubusercontent.com/IEScoders/EcoclimateTaiwan/master/image/pseudococcidae.png,成蟲淡黃色，有時略帶灰色或淡綠色，體型腹部扁平，背部卵圓形稍有隆起，遍體披有白色蠟粉，體之四周具白色刺狀，蠟粉向外突出，頭為後口式。雌性成蟲無翅，口器刺吸式。雄性成蟲，口器缺，具有翅，前翅較大，後翅退化為平衡棍，足較雌性成蟲發達，腹節末端有性刺。若蟲體形甚小，淺黃色，數日後體被有白色蠟粉，初隱藏於雌蟲腹部下方，後來爬行分散於附近適宜之處。卵多成堆，大多在白色分泌物中，淡黃色，半透明，橢圓形。, mallada_basalis,https://www.ncbi.nlm.nih.gov/pubmed/19133459, ,,
瓢蟲,ladybirds,coccinellidae,1,85,212,315,441,0,17,32,35,,https://raw.githubusercontent.com/IEScoders/EcoclimateTaiwan/master/image/coccinellidae.jpg,,https://www.cabi.org/ISC/datasheet/11733, http://webcache.googleusercontent.com/search?q=cache:o6ZqMUBR7ygJ:xnldxb.swfu.edu.cn/oa/pdfdow.aspx%3FSid%3D201204016+&cd=7&hl=zh-TW&ct=clnk&gl=tw,,,
葉蟎,spider_mite,tetranychus,0,85,212,315,441,0,15,31,32,coccinellidae;mallada_basalis,https://raw.githubusercontent.com/IEScoders/EcoclimateTaiwan/master/image/tetranychus.jpg,成蟎體呈卵圓形，紅色至紫紅色，背部刺毛基部突起，呈灰白色，足4對，體長約0.5公厘。卵紅色，有光澤，球形，稍扁，先端放射出10～12條絲質卵柱，附於卵的四周，卵直徑約0.13公厘。幼若蟎形似成蟎，體長0.2～0.3公厘。, mallada_basalis,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1570-7458.1965.tb02340.x, https://www.researchgate.net/publication/270217801_Determining_an_optimal_temperature_range_for_reproduction_of_Phytoseiulus_persimilis_a_predator_of_the_two-spotted_spider_mite_Tetranychus_urticae,,
